Question,Scenario,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Topic
"To evaluate the digit classifier's real-world performance, which evaluation strategy is most comprehensive?","Have 60K training, 10K validation, 10K test samples. Model shows: Train=99%, Val=91%, Test=89%. Need to assess performance across different digit classes and error patterns.","A) Only report test accuracy (89%)","B) Confusion matrix, per-class precision/recall, and error analysis on test set","C) Only training accuracy (99%)","D) Average of train, val, test accuracies","B","Comprehensive evaluation includes confusion matrix to see which digits are confused, per-class metrics to identify problematic classes, and error analysis to understand failure modes.","Model Evaluation"
"When implementing gradient descent in PyTorch, why do you need optimizer.zero_grad() before loss.backward()?","Training loop without optimizer.zero_grad(): for batch in dataloader: output=model(x); loss=criterion(output,y); loss.backward(); optimizer.step(). Gradients seem to accumulate strangely.","A) To reset the model weights","B) To clear accumulated gradients from previous iterations","C) To normalize gradients","D) To save memory","B","PyTorch accumulates gradients by default. Without zero_grad(), gradients from previous iterations add up, leading to incorrect gradient magnitudes and poor training.","Neural Networks"
"In a CNN for image classification, what is the primary purpose of convolutional layers?","Building CNN for CIFAR-10 (32x32 RGB images, 10 classes). Need to extract features like edges, shapes, textures from images before classification.","A) To reduce the number of parameters only","B) To detect local features like edges and patterns using learnable filters","C) To flatten the image into a vector","D) To apply non-linear activation","B","Convolutional layers use learnable filters to detect local features (edges, shapes, patterns) while preserving spatial relationships and reducing parameters through weight sharing.","CNN Architecture"
"In the CIFAR-10 CNN, you have Conv2d(3, 32, kernel_size=3) followed by Conv2d(32, 64, kernel_size=3). What do these numbers represent?","Input: 32x32x3 RGB images. First conv layer needs to learn 32 different 3x3 filters from RGB input. Second layer learns 64 filters from the 32 feature maps.","A) 3 input channels, 32 output channels, 3x3 filter size; then 32 input channels, 64 output channels, 3x3 filter","B) 3 layers, 32 neurons, kernel size 3","C) 3 filters, 32 images, 3x3 pooling","D) RGB values, batch size, filter count","A","Conv2d(in_channels, out_channels, kernel_size): First layer takes 3 RGB channels, outputs 32 feature maps with 3x3 filters. Second layer takes 32 input features, outputs 64 feature maps.","CNN Architecture"
"Why do CNNs typically use MaxPooling layers between convolutional layers?","CIFAR-10 CNN architecture: Conv→ReLU→MaxPool→Conv→ReLU→MaxPool→FC. After each conv block, feature maps are getting large and computation is expensive.","A) To increase the number of parameters","B) To add non-linearity","C) To reduce spatial dimensions and provide translation invariance","D) To prevent overfitting only","C","MaxPooling reduces spatial dimensions (downsampling), decreases computation, provides translation invariance, and helps the network focus on the most important features in each region.","CNN Architecture"
"In your CIFAR-10 CNN, the final feature maps are 4x4x128. Before the fully connected layer, what operation is typically applied?","After conv layers: 4x4x128 feature maps. Need to connect to fully connected layer with 512 neurons for classification. Spatial structure is no longer needed.","A) Another convolution","B) Batch normalization","C) Flatten to convert 4x4x128 to 2048-dimensional vector","D) Average pooling only","C","Flatten operation converts the 3D feature maps (4×4×128 = 2048 values) into a 1D vector that can be fed into fully connected layers for final classification.","CNN Architecture"
"During CNN training on CIFAR-10, training accuracy reaches 95% but validation accuracy plateaus at 75%. What's the most likely issue and solution?","CNN with 5 conv layers, no regularization. Training for 100 epochs. Training loss keeps decreasing while validation loss starts increasing after epoch 30.","A) Underfitting; add more layers","B) Overfitting; add dropout, data augmentation, or reduce model complexity","C) Bad optimization; change learning rate","D) Perfect performance; no changes needed","B","Large gap between training (95%) and validation (75%) accuracy indicates overfitting. Solutions include dropout, data augmentation, batch normalization, or early stopping.","Overfitting/Underfitting"
"For data augmentation in CIFAR-10 training, which transformations would be most appropriate?","Original 32x32 images of planes, cars, birds, cats, etc. Want to increase dataset diversity while preserving class labels. Some transformations might change the class.","A) Random rotation, horizontal flip, color jittering","B) Vertical flip, 180° rotation, grayscale conversion","C) Random crop, Gaussian noise, normalization","D) All possible transformations","A","For CIFAR-10, horizontal flips and small rotations preserve class identity. Vertical flips would create unrealistic images (upside-down cars), and extreme rotations might change object orientation.","Data Preprocessing"
"In batch normalization for CNNs, what problem does it primarily solve?","Training deep CNN on CIFAR-10. Without batch norm: gradients vanish in early layers, training is slow and unstable. Learning rates need careful tuning.","A) Overfitting","B) Internal covariate shift and gradient flow problems","C) Memory usage","D) Computational cost","B","Batch normalization addresses internal covariate shift (changing distributions of layer inputs during training) and improves gradient flow, enabling faster and more stable training.","CNN Architecture"
"When fine-tuning a pre-trained ResNet-50 on CIFAR-10, what's the best strategy?","ResNet-50 pre-trained on ImageNet (1000 classes, 224x224 images). CIFAR-10 has 10 classes, 32x32 images. Limited computational resources and 5K training samples per class.","A) Train all layers from scratch with random weights","B) Freeze early layers, fine-tune later layers, replace final classifier","C) Only train the final classifier layer","D) Use identical architecture without modifications","B","Early layers learn general features (edges, shapes) that transfer well. Fine-tuning later layers and replacing the classifier allows adaptation to CIFAR-10 while leveraging pre-trained features.","Transfer Learning"
"In transfer learning, why might you use different learning rates for different parts of the network?","Fine-tuning pre-trained ResNet on CIFAR-10. Early layers have good general features, later layers need adaptation. Final classifier starts with random weights.","A) All layers should use the same learning rate","B) Pre-trained layers use lower learning rates, new layers use higher learning rates","C) Random learning rates work best","D) Learning rate doesn't matter in transfer learning","B","Pre-trained layers need small updates (low learning rate) to preserve learned features. New/fine-tuned layers need larger updates (higher learning rate) to adapt to the new task.","Transfer Learning"
"For RNN text classification, what is the vanishing gradient problem and how does LSTM address it?","Training RNN to classify movie reviews (sequences of 200-500 words). Vanilla RNN struggles to learn long-term dependencies. Gradients become very small in early time steps.","A) LSTM adds more parameters to solve vanishing gradients","B) LSTM uses gating mechanisms to control information flow and maintain long-term memory","C) LSTM uses different activation functions","D) LSTM eliminates gradients completely","B","LSTM uses forget, input, and output gates to selectively remember/forget information, allowing gradients to flow through long sequences without vanishing.","RNN/LSTM"
"In LSTM for sentiment analysis, what do the forget gate, input gate, and output gate control?","Processing movie review: 'The movie started well but the ending was disappointing.' LSTM needs to remember positive sentiment early, then update with negative sentiment.","A) Forget: old memory, Input: new information, Output: current hidden state","B) All gates control the same information","C) Gates only affect training speed","D) Gates are not important for performance","A","Forget gate decides what to discard from cell state, input gate controls what new information to store, output gate determines what parts of cell state to output as hidden state.","RNN/LSTM"
"When using LSTM for sequence-to-sequence tasks, what is teacher forcing?","Training English-to-French translation model. During training, for input 'Hello world' → 'Bonjour monde', the decoder should predict each French word sequentially.","A) Using the target sequence as decoder input during training instead of predicted tokens","B) Forcing the model to learn faster","C) Using only correct predictions","D) Training without supervision","A","Teacher forcing feeds the true target tokens as decoder input during training, providing stable gradients and faster convergence compared to using the model's own predictions.","RNN/LSTM"
"In a bidirectional LSTM for named entity recognition, why process text in both directions?","Identifying person names in: 'Mr. John Smith visited Paris.' Context from both sides helps: 'Mr.' suggests a person name follows, and 'visited' confirms John Smith is a person.","A) To double the training speed","B) To capture context from both past and future tokens for better predictions","C) To reduce memory usage","D) Bidirectional is always better","B","Bidirectional processing allows the model to use both left context (past) and right context (future) when making predictions, providing richer representations for tasks like NER.","RNN/LSTM"
"For handling variable-length sequences in RNN training, what is sequence padding and masking?","Training sentiment classifier on movie reviews with lengths: 50, 150, 300, 80 words. Batch processing requires fixed-length tensors, but we don't want padding to affect learning.","A) Padding adds special tokens to make sequences equal length, masking ignores padded positions in loss calculation","B) Padding and masking are the same thing","C) Only padding is needed","D) Variable lengths don't matter","A","Padding adds special tokens (usually 0) to make sequences the same length for batching. Masking ensures padded positions don't contribute to loss or gradient calculations.","Data Preprocessing"
"In attention mechanisms for sequence-to-sequence models, what problem does attention solve?","English-French translation: 'The quick brown fox jumps over the lazy dog' → 'Le renard brun rapide saute par-dessus le chien paresseux.' Standard seq2seq compresses all input info into final hidden state.","A) Attention speeds up training","B) Attention allows the decoder to focus on relevant parts of the input sequence for each output token","C) Attention reduces memory usage","D) Attention eliminates the need for RNNs","B","Attention allows the decoder to dynamically focus on different parts of the input sequence when generating each output token, solving the information bottleneck of fixed-size context vectors.","Attention Mechanism"
"In self-attention (as used in Transformers), how are queries, keys, and values computed?","Processing sentence: 'The cat sat on the mat.' Each word needs to attend to all other words to understand relationships and context.","A) Q, K, V are predefined matrices","B) Q, K, V are learned linear projections of the input embeddings","C) Q, K, V are the same as input embeddings","D) Only queries matter","B","Self-attention computes Q=XW_Q, K=XW_K, V=XW_V where X is input embeddings and W matrices are learned parameters, allowing flexible attention patterns.","Attention Mechanism"
"What is the main advantage of Transformers over RNNs for sequence processing?","Training on large datasets (millions of sentences) for language modeling. RNNs process sequentially (word by word), while Transformers can process all positions simultaneously.","A) Transformers use less memory","B) Transformers enable parallel processing of sequences and better capture long-range dependencies","C) Transformers are simpler to implement","D) RNNs are always better","B","Transformers process all sequence positions in parallel (vs. sequential RNN processing) and use attention to directly connect distant positions, enabling better parallelization and long-range modeling.","Transformers"
"In the Transformer architecture, what is the purpose of positional encodings?","Processing sentence: 'John loves Mary' vs. 'Mary loves John.' Word order completely changes meaning, but self-attention is permutation-invariant without position information.","A) To add randomness","B) To provide position information since attention is permutation-invariant","C) To reduce overfitting","D) Positional encoding is optional","B","Self-attention doesn't inherently understand word order. Positional encodings add position information to embeddings, allowing the model to distinguish between different word orders.","Transformers"
"In multi-head attention, why use multiple attention heads instead of single attention?","Analyzing sentence: 'The bank by the river was steep.' Multiple attention heads can focus on different relationships: syntactic (bank-steep), semantic (bank-river), etc.","A) Multiple heads reduce computation","B) Multiple heads allow the model to attend to different types of relationships simultaneously","C) Single head is always sufficient","D) Multiple heads prevent overfitting","B","Multiple attention heads allow the model to capture different types of relationships (syntactic, semantic, positional) in parallel, providing richer representations than single attention.","Transformers"
"What is the difference between encoder-only, decoder-only, and encoder-decoder Transformer architectures?","Three tasks: document classification (BERT-style), text generation (GPT-style), and machine translation (T5-style). Each requires different architectural choices.","A) No significant differences","B) Encoder-only for classification, decoder-only for generation, encoder-decoder for seq2seq tasks","C) All architectures work equally for all tasks","D) Only decoder-only models are useful","B","Encoder-only (BERT): bidirectional, good for classification. Decoder-only (GPT): causal/autoregressive, good for generation. Encoder-decoder: best for translation and seq2seq tasks.","Transformers"
"In BERT training, what is the masked language modeling (MLM) objective?","Pre-training BERT on large text corpus. Input: 'The [MASK] jumped over the fence.' BERT needs to predict the masked word using bidirectional context.","A) Predicting the next word in sequence","B) Predicting masked words using bidirectional context","C) Classifying sentence sentiment","D) Translating between languages","B","MLM randomly masks 15% of input tokens and trains the model to predict them using bidirectional context, enabling BERT to learn rich bidirectional representations.","BERT/GPT"
"What is the key difference between BERT and GPT in terms of training objectives?","BERT sees full context when predicting masked words: 'The cat [MASK] on the mat.' GPT only sees left context when predicting next word: 'The cat' → predict 'sat'.","A) BERT and GPT use identical training","B) BERT uses bidirectional masked LM, GPT uses unidirectional autoregressive LM","C) BERT is only for classification","D) GPT cannot be fine-tuned","B","BERT uses masked language modeling with bidirectional context. GPT uses autoregressive language modeling, predicting next tokens using only left context.","BERT/GPT"
"When fine-tuning BERT for text classification, what modifications are typically made?","Fine-tuning BERT for movie review sentiment classification. BERT outputs contextual embeddings for each token, but need single classification decision.","A) Replace all BERT layers","B) Add a classification head on top of [CLS] token representation","C) Only use the last layer","D) Freeze all BERT parameters","B","Add a linear classification layer that takes the [CLS] token's final representation as input. The [CLS] token is designed to represent the entire sequence for classification tasks.","BERT/GPT"
"In GPT, what does the autoregressive generation process look like?","Generating text with GPT starting with prompt: 'The weather today is'. Model needs to generate continuation word by word while maintaining coherence.","A) Generate all words simultaneously","B) Generate words sequentially, using previous tokens as context for next token prediction","C) Generate random words","D) Copy from training data","B","GPT generates text autoregressively: predict next token given all previous tokens, then add predicted token to sequence and repeat. Each prediction uses full left context.","BERT/GPT"
"What is the difference between GPT-1, GPT-2, and GPT-3 in terms of scale and capabilities?","Evolution from GPT-1 (117M parameters) to GPT-3 (175B parameters). Each version shows emergent capabilities with scale increases.","A) Only architectural differences","B) Primarily scale differences: GPT-1 (117M) → GPT-2 (1.5B) → GPT-3 (175B) parameters, with emergent abilities","C) Only training data differences","D) No significant differences","B","The GPT series primarily differs in scale: GPT-1 (117M), GPT-2 (1.5B), GPT-3 (175B) parameters. Larger models show emergent capabilities like few-shot learning and reasoning.","BERT/GPT"
"In word embeddings, what does the distributional hypothesis suggest?","Training word embeddings on large corpus. Words 'car' and 'automobile' appear in similar contexts: 'drive a ___', 'park the ___', '_ mechanic'.","A) Words with similar meanings appear in similar contexts","B) Word order doesn't matter","C) All words are equally similar","D) Context is irrelevant","A","Distributional hypothesis states that words appearing in similar contexts tend to have similar meanings. This principle underlies word embedding methods like Word2Vec and GloVe.","Word Embeddings"
"What is the main difference between Word2Vec's CBOW and Skip-gram models?","Training embeddings on sentence: 'The quick brown fox jumps.' CBOW uses context words to predict target. Skip-gram uses target word to predict context.","A) CBOW and Skip-gram are identical","B) CBOW predicts target from context, Skip-gram predicts context from target","C) CBOW is only for classification","D) Skip-gram doesn't use neural networks","B","CBOW (Continuous Bag of Words) predicts the target word from context words. Skip-gram predicts context words from the target word. Skip-gram works better for rare words.","Word Embeddings"
"In GloVe embeddings, what information is captured by the co-occurrence matrix?","Building embeddings from news corpus. Words 'president' and 'election' frequently appear together. 'Cat' and 'election' rarely co-occur in the same context windows.","A) Alphabetical order of words","B) Global word co-occurrence statistics across the entire corpus","C) Word frequencies only","D) Random associations","B","GloVe constructs a global word-word co-occurrence matrix capturing how often words appear together across the entire corpus, then factorizes it to learn embeddings.","Word Embeddings"
"What are the limitations of static word embeddings like Word2Vec compared to contextual embeddings?","Word 'bank' in two sentences: 'I deposited money at the bank' vs. 'The river bank was muddy.' Word2Vec gives same embedding for 'bank' in both contexts.","A) Static embeddings are always better","B) Static embeddings assign same vector to words regardless of context, missing polysemy","C) No significant differences","D) Contextual embeddings are always worse","B","Static embeddings assign fixed vectors to words, missing context-dependent meanings (polysemy). Contextual embeddings (like BERT) provide different representations based on context.","Word Embeddings"
"In contextual embeddings (like those from BERT), how do representations differ from static embeddings?","Processing 'bank' in different contexts with BERT: 'financial bank' vs. 'river bank'. BERT generates different embeddings based on surrounding context.","A) Contextual embeddings are random","B) Contextual embeddings provide different representations for the same word in different contexts","C) Contextual embeddings are identical to static embeddings","D) Context doesn't matter","B","Contextual embeddings generate different vector representations for the same word based on its context, capturing polysemy and context-dependent meanings that static embeddings miss.","Word Embeddings"
"What is a language model and how is it typically evaluated?","Training a language model to predict the next word in sequences like: 'The capital of France is ___'. Model assigns probability distributions over vocabulary.","A) Language models only do classification","B) Language models predict probability distributions over next tokens, evaluated using perplexity","C) Language models don't need evaluation","D) Only accuracy matters","B","Language models predict probability distributions over next tokens given context. Perplexity measures how well the model predicts a test set - lower perplexity indicates better predictive performance.","Language Models"
"In n-gram language models, what is the Markov assumption and why is it limiting?","Bigram model for 'The cat sat on the' predicts next word only from 'the'. Doesn't consider that the sentence started with 'cat sat', losing important context.","A) N-gram models use infinite context","B) Markov assumption limits context to n-1 previous tokens, missing long-range dependencies","C) Markov assumption is always optimal","D) Context doesn't matter in language modeling","B","N-gram models assume independence beyond n-1 tokens (Markov assumption), missing long-range dependencies. Neural language models can capture longer contexts.","Language Models"
"How do neural language models (like RNN-based or Transformer-based) improve over n-gram models?","Comparing models on sentence completion: 'Although the weather was terrible, the concert was ___'. N-gram misses long-range 'weather terrible' → 'concert good' relationship.","A) Neural models use larger vocabularies","B) Neural models can capture longer dependencies and learn distributed representations","C) N-gram models are always better","D) No significant differences","B","Neural language models can capture longer dependencies through hidden states/attention and learn dense distributed representations, overcoming the sparse, limited-context nature of n-gram models.","Language Models"
"What is the purpose of temperature in language model sampling?","GPT generating text with different temperature values: T=0.1 produces very predictable text, T=2.0 produces more random, creative text.","A) Temperature controls model size","B) Temperature controls randomness in sampling - lower T more deterministic, higher T more random","C) Temperature doesn't affect generation","D) Temperature only affects training","B","Temperature scales the logits before softmax sampling. Low temperature (T→0) makes sampling more deterministic (greedy), high temperature makes it more random and creative.","Language Models"
"In language model evaluation, what does perplexity measure and how does it relate to bits per character?","Model A: perplexity=50, Model B: perplexity=25 on same test set. Lower perplexity indicates better predictive performance.","A) Perplexity measures model size","B) Perplexity measures how surprised the model is by the test data - lower is better, related to compression efficiency","C) Higher perplexity is always better","D) Perplexity is unrelated to model quality","B","Perplexity measures average surprise - how uncertain the model is about predicting test data. Lower perplexity = better model. Related to compression: lower perplexity = fewer bits needed per character.","Language Models"
"What is Retrieval-Augmented Generation (RAG) and why is it useful?","Question-answering system needs to answer: 'What was the GDP of Japan in 2023?' The base language model was trained on data through 2021 and lacks recent information.","A) RAG only retrieves information","B) RAG combines retrieval of relevant documents with language model generation for up-to-date, factual responses","C) RAG replaces language models entirely","D) RAG is only for classification","B","RAG retrieves relevant documents from a knowledge base and provides them as context to a language model for generation, enabling access to current information beyond training data.","RAG Systems"
"In a RAG system, what is the typical pipeline for answering a user query?","User asks: 'What are the latest developments in quantum computing?' System needs to find relevant documents and generate an informed response.","A) Generate answer directly without retrieval","B) Query → retrieve relevant documents → augment prompt with documents → generate answer","C) Only retrieve documents without generation","D) Random document selection","B","RAG pipeline: 1) Encode user query, 2) Retrieve relevant documents using similarity search, 3) Augment the prompt with retrieved documents, 4) Generate answer using the augmented context.","RAG Systems"
"What role do vector databases play in RAG systems?","RAG system has 1M documents about various topics. User query 'climate change effects' needs to quickly find the most relevant documents for context.","A) Vector databases store only text","B) Vector databases store document embeddings for fast similarity search and retrieval","C) Vector databases are not needed in RAG","D) Vector databases only store metadata","B","Vector databases store high-dimensional embeddings of documents, enabling fast similarity search. When a query comes in, its embedding is compared to find the most relevant document embeddings.","Vector Databases"
"In vector similarity search, what are the trade-offs between exact and approximate methods?","Searching through 10M document embeddings (768 dimensions each) for query 'machine learning algorithms'. Need balance between speed and accuracy.","A) Exact search is always faster","B) Exact search is accurate but slow for large datasets; approximate methods (like LSH, FAISS) trade some accuracy for speed","C) Approximate methods are always more accurate","D) No trade-offs exist","B","Exact search guarantees finding the true nearest neighbors but is computationally expensive. Approximate methods (LSH, FAISS, HNSW) sacrifice some accuracy for significant speed improvements on large datasets.","Vector Databases"
"What is the difference between dense and sparse retrieval in RAG systems?","Two retrieval approaches for query 'neural network architectures': sparse uses TF-IDF/BM25 matching 'neural', 'network', 'architectures'. Dense uses embedding similarity.","A) Dense and sparse are identical","B) Sparse uses exact term matching (TF-IDF, BM25), dense uses semantic similarity in embedding space","C) Dense is always better","D) Sparse is always better","B","Sparse retrieval uses exact term matching (TF-IDF, BM25) and works well for keyword-based queries. Dense retrieval uses semantic embeddings and captures conceptual similarity beyond exact terms.","RAG Systems"
"How can you evaluate the performance of a RAG system?","RAG system answers questions about company policies. Need to measure both retrieval quality (finding right documents) and generation quality (accurate, helpful answers).","A) Only measure generation quality","B) Evaluate both retrieval metrics (precision, recall) and generation metrics (factual accuracy, relevance)","C) Only measure retrieval quality","D) Random evaluation is sufficient","B","RAG evaluation requires: 1) Retrieval metrics (precision@k, recall, MRR) measuring if relevant documents are found, 2) Generation metrics (factual accuracy, relevance, fluency) measuring answer quality.","RAG Systems"
