Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Explanation
"A company wants to implement risk-based authentication for their Azure resources. What's the optimal configuration?","Multi-factor authentication for all users","Conditional Access with risk policies","Azure AD Identity Protection with automation","Password policies with complexity requirements",C,Advanced,Identity and Access Management,"Azure AD Identity Protection provides real-time risk assessment and automated responses based on user and sign-in risk levels."
"An enterprise needs to implement device compliance for Azure AD-joined devices. Which combination provides comprehensive device management?","Azure AD device registration only","Microsoft Intune with conditional access","Third-party MDM with Azure integration","Manual device certificate management",B,Intermediate,Identity and Access Management,"Microsoft Intune provides comprehensive device compliance policies integrated with Conditional Access for secure device management."
"A multinational organization needs to implement multi-factor authentication that works offline. Which MFA method should they deploy?","SMS-based verification codes","Microsoft Authenticator with TOTP","Hardware security keys (FIDO2)","Phone call verification",C,Advanced,Identity and Access Management,"FIDO2 hardware security keys provide strong authentication that works offline and meets the highest security standards."
"A company needs to implement conditional access that adapts to user location and device trust. What's the optimal policy configuration?","Single policy with multiple conditions","Separate policies for each scenario","Location-based policies only","Device-based policies only",A,Intermediate,Identity and Access Management,"A well-designed conditional access policy can combine location, device trust, and risk signals for comprehensive adaptive authentication."
"An organization needs to protect against advanced persistent threats with behavioral analytics. Which Azure security service should they implement?","Azure Security Center with threat protection","Azure Sentinel with UEBA capabilities","Azure Defender with threat intelligence","Network Security Groups with monitoring",B,Advanced,Platform Protection,"Azure Sentinel provides advanced User and Entity Behavior Analytics (UEBA) to detect sophisticated threats and insider attacks."
"A company needs to implement network security that inspects encrypted traffic. Which Azure security solution provides this capability?","Network Security Groups with application rules","Azure Firewall Premium with TLS inspection","Azure Application Gateway with WAF","Azure DDoS Protection with monitoring",B,Advanced,Platform Protection,"Azure Firewall Premium provides TLS inspection capabilities to examine encrypted traffic for threats and policy violations."
"An enterprise needs centralized key management with hardware security module protection. What's the optimal Azure Key Vault configuration?","Standard tier with software keys","Premium tier with HSM-protected keys","Managed HSM with dedicated hardware","Third-party HSM with Azure integration",C,Advanced,Platform Protection,"Azure Dedicated HSM provides single-tenant hardware security modules for the highest level of key protection and regulatory compliance."
"A financial services company needs to implement defense-in-depth security for their Azure environment. Which combination provides comprehensive protection?","Network security only","Identity security with MFA","Multi-layered security across network, identity, and data","Application-level security only",C,Advanced,Platform Protection,"Defense-in-depth requires multiple security layers including network, identity, data, and application security controls working together."
"An organization experiences a security incident and needs to investigate across multiple Azure services. Which tool provides the best investigation capabilities?","Azure Security Center alerts","Azure Monitor with KQL queries","Azure Sentinel investigation graph","Azure Activity Log analysis",C,Advanced,Security Operations,"Azure Sentinel's investigation graph provides entity correlation and timeline analysis across multiple data sources for comprehensive incident investigation."
"A company needs to implement automated threat response for their Azure environment. What's the optimal approach?","Manual incident response procedures","Azure Security Center with email alerts","Azure Sentinel with automated playbooks","Third-party SOAR integration",C,Advanced,Security Operations,"Azure Sentinel playbooks provide automated response capabilities that can contain threats, collect evidence, and notify stakeholders automatically."
"An enterprise needs to correlate security events from Azure, on-premises, and SaaS applications. Which SIEM solution should they implement?","Azure Security Center with custom dashboards","Azure Sentinel with data connectors","Third-party SIEM with Azure APIs","Azure Monitor with correlation rules",B,Advanced,Security Operations,"Azure Sentinel provides native data connectors for Azure, on-premises, and third-party services with advanced correlation capabilities."
"A security team needs to hunt for threats across their hybrid environment. Which Azure service provides the best threat hunting capabilities?","Azure Security Center with recommendations","Azure Sentinel with hunting queries","Azure Defender with threat intelligence","Azure Monitor with custom queries",B,Advanced,Security Operations,"Azure Sentinel provides advanced threat hunting capabilities with KQL queries, hunting dashboards, and collaborative investigation features."
"A company needs to implement data encryption that ensures they maintain full control over encryption keys. Which approach should they use?","Azure-managed keys with Service Encryption","Customer-managed keys in Azure Key Vault","Customer-provided keys with Azure Key Vault","Bring your own key (BYOK) with HSM",D,Advanced,Data and Application Security,"BYOK with HSM ensures complete customer control over encryption keys while meeting the highest security and compliance requirements."
"An organization needs to classify and protect sensitive documents automatically. Which Azure service should they implement?","Azure Information Protection with automatic labeling","Azure Security Center with data discovery","Microsoft Defender for Cloud Apps","Azure Purview with data classification",A,Intermediate,Data and Application Security,"Azure Information Protection provides automatic classification and protection of sensitive documents based on content inspection and machine learning."
"A healthcare organization needs to ensure HIPAA compliance for their Azure environment. What's the most comprehensive approach?","Enable Azure Security Center recommendations","Implement Azure Policy with HIPAA templates","Azure compliance with manual auditing","Third-party compliance tools",B,Intermediate,Data and Application Security,"Azure Policy provides built-in HIPAA compliance initiatives that can automatically assess and enforce compliance requirements."
"A company needs to prevent data exfiltration from their Azure environment. Which combination provides the best protection?","Network security controls only","Data Loss Prevention with endpoint protection","Azure Information Protection with DLP policies","Application-level access controls only",C,Advanced,Data and Application Security,"Combining Azure Information Protection with DLP policies provides comprehensive data protection across cloud and endpoint environments."
"An enterprise wants to assess their Azure architecture against the Well-Architected Framework. Which tool should they use?","Azure Advisor recommendations","Well-Architected Review assessment","Azure Security Center compliance","Third-party architecture review tools",B,Foundation,Well-Architected Framework,"The Well-Architected Review provides systematic assessment against all five pillars with actionable recommendations."
"A company needs to optimize their Azure architecture for cost while maintaining performance. Which Well-Architected pillar should they focus on?","Reliability with cost considerations","Performance efficiency with cost optimization","Cost optimization with performance monitoring","Security with cost awareness",C,Intermediate,Well-Architected Framework,"Cost optimization pillar provides strategies to optimize spending while maintaining required performance and reliability levels."
"An organization needs to improve their operational procedures for Azure workloads. Which Well-Architected pillar addresses this need?","Operational excellence with automation","Reliability with monitoring","Performance efficiency with optimization","Security with operations",A,Intermediate,Well-Architected Framework,"Operational excellence focuses on processes, monitoring, and automation to improve operational procedures and outcomes."
"A startup needs to design a scalable Azure architecture that can grow with their business. Which approach aligns with Well-Architected principles?","Fixed capacity with manual scaling","Elastic architecture with auto-scaling","Over-provisioned resources for growth","Minimal resources with reactive scaling",B,Advanced,Well-Architected Framework,"Elastic architecture with auto-scaling aligns with reliability and cost optimization pillars while supporting business growth."
"A company needs to implement comprehensive monitoring for their Azure infrastructure and applications. What's the optimal approach?","Azure Monitor with Application Insights","Basic Azure metrics only","Third-party monitoring tools","Manual monitoring procedures",A,Intermediate,Hands-On Labs and Projects,"Azure Monitor with Application Insights provides comprehensive infrastructure and application monitoring with integrated alerting and diagnostics."
"An organization needs to simulate a security incident to test their response procedures. Which Azure service should they use?","Azure Security Center attack simulation","Azure Sentinel with simulated data","Azure Chaos Studio for incident simulation","Manual penetration testing",B,Advanced,Hands-On Labs and Projects,"Azure Sentinel can simulate security incidents with synthetic data to test detection rules and response procedures safely."
"A DevOps team needs to deploy secure infrastructure as code with automated testing. What's the best approach?","Manual infrastructure deployment","ARM templates with basic validation","Terraform with security scanning and testing","PowerShell scripts with manual review",C,Advanced,Hands-On Labs and Projects,"Terraform with integrated security scanning and automated testing provides secure and reliable infrastructure deployment."
"An enterprise needs to establish FinOps culture across multiple development teams. What's the most effective organizational approach?","Centralized cost management team","FinOps center of excellence with distributed responsibility","Complete autonomy with cost allocation","Finance-only cost management",B,Foundation,FinOps Principles,"FinOps center of excellence provides guidance and best practices while ensuring teams take ownership of their cloud spending."
"A company wants to establish clear FinOps personas for their cloud financial management. Which roles are essential?","Finance and IT only","Finance, IT, and Engineering","Executive sponsorship only","Procurement and vendor management",B,Foundation,FinOps Principles,"Effective FinOps requires collaboration between Finance (cost management), IT (governance), and Engineering (technical optimization)."
"An organization needs to improve collaboration between Finance and IT teams for cloud cost management. What's the optimal approach?","Separate responsibilities with monthly reports","Joint ownership with shared metrics and goals","Finance controls with IT execution","IT autonomy with finance oversight",B,Intermediate,FinOps Principles,"Joint ownership with shared metrics ensures both teams are aligned and accountable for cloud financial management outcomes."
"A multinational corporation needs to implement FinOps practices across different business units with varying maturity levels. How should they approach this?","Uniform implementation across all units","Phased approach based on maturity levels","Focus on largest spenders first","Start with most mature units only",B,Intermediate,FinOps Principles,"Phased approach allows customization based on each unit's maturity level while building overall organizational FinOps capability."
"An organization is in the Inform phase of FinOps and needs to establish cost visibility. What should be their primary focus?","Cost optimization recommendations","Accurate cost allocation and reporting","Automated cost controls","Advanced forecasting models",B,Foundation,FinOps Lifecycle,"The Inform phase focuses on establishing accurate cost visibility and allocation before moving to optimization activities."
"A company wants to transition from the Inform phase to the Optimize phase of FinOps. What capabilities should they develop first?","Advanced automation tools","Cost optimization processes and governance","Machine learning for forecasting","Real-time cost controls",B,Intermediate,FinOps Lifecycle,"Successful optimization requires established processes and governance frameworks before implementing advanced automation."
"An enterprise in the Operate phase needs to maintain FinOps momentum. What should be their ongoing focus?","Cost reduction initiatives only","Continuous improvement and cultural reinforcement","Tool automation and integration","Vendor negotiations and contracts",B,Advanced,FinOps Lifecycle,"The Operate phase requires continuous improvement, cultural reinforcement, and ongoing optimization to maintain FinOps success."
"A growing startup needs to implement FinOps practices from the beginning. Which phase should they start with?","Jump directly to Optimize phase","Establish Inform phase foundations","Focus on Operate phase automation","Implement all phases simultaneously",B,Foundation,FinOps Lifecycle,"Starting with solid Inform phase foundations ensures accurate cost visibility before moving to more advanced FinOps practices."
"An organization needs to create budgets and track spending across multiple Azure subscriptions. What's the optimal approach?","Manual Excel-based tracking","Azure Cost Management with budget alerts","Third-party cost management tools","Vendor billing analysis only",B,Foundation,FinOps Inform Phase,"Azure Cost Management provides native budgeting, alerting, and cost tracking capabilities across multiple subscriptions."
"A company needs to implement resource tagging for accurate cost allocation. What's the most effective tagging strategy?","Manual tagging with guidelines","Automated tagging with Azure Policy","Optional tagging for major resources","Department-level tagging only",B,Intermediate,FinOps Inform Phase,"Azure Policy can enforce consistent tagging across all resources, ensuring accurate cost allocation and governance."
"An enterprise needs to create executive dashboards for cloud spending visibility. Which combination provides the best solution?","Azure Cost Management with Power BI","Excel reports with manual data entry","Third-party visualization tools","Email reports with cost summaries",A,Intermediate,FinOps Inform Phase,"Azure Cost Management APIs with Power BI provide rich, automated dashboards with real-time cost data and interactive analytics."
"A DevOps team needs real-time cost visibility during development cycles. What should they implement?","Daily cost reports via email","Real-time cost monitoring with alerts","Weekly cost review meetings","Monthly budget reconciliation",B,Advanced,FinOps Inform Phase,"Real-time cost monitoring with automated alerts enables immediate feedback and cost-conscious development practices."
"An organization identified high-cost resources and needs to optimize spending. What should be their first optimization step?","Implement automated scaling","Right-size based on utilization analysis","Purchase reserved instances immediately","Switch to cheaper regions",B,Foundation,FinOps Optimize Phase,"Right-sizing based on actual utilization data provides immediate cost savings with minimal risk to performance."
"A company wants to optimize their Azure spending through reserved instances. What's the optimal approach?","Purchase maximum reservations for discounts","Analyze usage patterns before purchasing","Buy reservations for all resource types","Use only pay-as-you-go pricing",B,Intermediate,FinOps Optimize Phase,"Analyzing usage patterns ensures reserved instance purchases align with actual consumption patterns and provide maximum savings."
"An enterprise needs to implement automated cost optimization without impacting performance. What should they prioritize?","Aggressive resource downsizing","Intelligent auto-scaling with monitoring","Manual resource management","Cost alerts without automation",B,Advanced,FinOps Optimize Phase,"Intelligent auto-scaling with comprehensive monitoring ensures cost optimization while maintaining performance and availability."
"A development team needs to optimize costs for non-production environments. What's the most effective approach?","Keep environments identical to production","Implement automated start/stop schedules","Use only free tier resources","Manual resource management",B,Intermediate,FinOps Optimize Phase,"Automated start/stop schedules for non-production environments can significantly reduce costs without impacting development productivity."
"An organization needs to establish ongoing cost governance and accountability. What's the optimal approach?","Monthly cost review meetings","Automated governance with policy enforcement","Annual budget planning only","Reactive cost management",B,Foundation,FinOps Operate Phase,"Automated governance with policy enforcement ensures consistent cost management practices and prevents cost overruns."
"A company needs to forecast cloud costs for annual budget planning. What methodology should they use?","Historical trend analysis only","Machine learning with multiple variables","Simple percentage increases","Vendor pricing predictions",B,Advanced,FinOps Operate Phase,"Machine learning models can incorporate usage trends, business growth, and seasonal patterns for accurate cost forecasting."
"An enterprise needs to establish FinOps KPIs that measure both efficiency and business value. Which metrics should they track?","Total cost reduction only","Cost per business unit","Unit economics and optimization savings","Cloud spend growth rates",C,Advanced,FinOps Operate Phase,"Unit economics correlates cloud costs with business outcomes, while optimization savings demonstrate the value of FinOps practices."
"A multinational corporation needs KPIs that work across different business units and regions. What approach should they take?","Standardized global KPIs only","Regional KPIs with local relevance","Business unit specific metrics","Financial metrics only",B,Advanced,FinOps Operate Phase,"Regional KPIs with local relevance ensure meaningful measurement while maintaining overall organizational alignment."
"An organization wants to evaluate third-party FinOps platforms for Azure. What should be their primary evaluation criteria?","Lowest cost solution","Integration capabilities with Azure native tools","Most features and functionality","Vendor reputation and support",B,Intermediate,FinOps Tools & Technologies,"Integration capabilities ensure the platform works seamlessly with existing Azure tools and provides comprehensive cost management."
"A company needs to integrate multiple cost management tools across hybrid cloud environments. What's the optimal approach?","Use single vendor for all platforms","Best-of-breed tools with integration","Manual data consolidation","Separate tools for each platform",B,Advanced,FinOps Tools & Technologies,"Best-of-breed tools with proper integration provide optimal functionality while maintaining unified cost management across platforms."
"An enterprise needs to automate cost optimization recommendations implementation. Which approach provides the best balance of automation and control?","Fully automated implementation","Automated recommendations with approval workflows","Manual implementation only","Random automation testing",B,Advanced,FinOps Tools & Technologies,"Automated recommendations with approval workflows provide efficiency while maintaining necessary governance and risk management."
"A growing company needs scalable FinOps tools that can evolve with their cloud adoption. What should they prioritize?","Current feature set only","Platform scalability and extensibility","Lowest initial cost","Simplest implementation",B,Intermediate,FinOps Tools & Technologies,"Platform scalability and extensibility ensure the tools can grow with the organization's evolving FinOps needs."
"An organization wants to establish DevOps culture across traditional development teams. What's the most effective transformation approach?","Mandate DevOps practices immediately","Gradual cultural change with training and tools","Hire only DevOps engineers","Outsource DevOps to specialists",B,Foundation,DevOps Fundamentals,"Gradual cultural transformation with proper training and tooling ensures sustainable adoption and reduces resistance to change."
"A company needs to define DevOps roles and responsibilities for their transformation. Which approach provides the best foundation?","Keep existing roles unchanged","Cross-functional teams with shared responsibilities","Separate DevOps team only","Complete role restructuring immediately",B,Foundation,DevOps Fundamentals,"Cross-functional teams with shared responsibilities foster collaboration and shared ownership essential for DevOps success."
"An enterprise needs to select DevOps tools that support their entire software delivery lifecycle. What should guide their tool selection?","Popular tools in the market","Integration capabilities and workflow alignment","Lowest cost options","Individual team preferences",B,Intermediate,DevOps Fundamentals,"Tool selection should prioritize integration capabilities and alignment with desired workflows to ensure seamless software delivery."
"A traditional organization wants to measure DevOps transformation success. Which metrics should they focus on?","Code quality metrics only","Lead time, deployment frequency, and MTTR","Team satisfaction surveys","Cost reduction metrics",B,Intermediate,DevOps Fundamentals,"DORA metrics (lead time, deployment frequency, MTTR, change failure rate) provide objective measures of DevOps transformation success."
"An organization needs to deploy a microservices application on Azure Kubernetes Service. What's the optimal cluster configuration?","Single large node pool","Multiple node pools with different VM sizes","Smallest possible cluster size","Manual cluster management",B,Intermediate,Kubernetes,"Multiple node pools allow workload-specific optimization and better resource utilization for different microservice requirements."
"A company needs to implement service discovery and load balancing for their Kubernetes applications. Which approach should they use?","Manual IP address management","Kubernetes Services with Ingress controllers","External load balancers only","DNS-based service discovery",B,Intermediate,Kubernetes,"Kubernetes Services provide native service discovery and load balancing, with Ingress controllers handling external traffic routing."
"An enterprise needs to implement security and networking policies for their AKS cluster. What's the comprehensive approach?","Network Security Groups only","Azure Policy for AKS with network policies","Manual security configuration","Third-party security tools",B,Advanced,Kubernetes,"Azure Policy for AKS combined with Kubernetes network policies provides comprehensive security governance and network segmentation."
"A DevOps team needs to manage secrets and configuration for their Kubernetes applications. Which approach provides the best security?","Environment variables in deployment manifests","Azure Key Vault with CSI driver integration","ConfigMaps for all configuration","Hardcoded values in container images",B,Advanced,Kubernetes,"Azure Key Vault CSI driver provides secure secret management with automatic rotation and audit capabilities."
"A development team needs to implement Git workflows for a large enterprise project. Which branching strategy should they adopt?","Feature branches with direct commits to main","GitFlow with feature, develop, and release branches","Trunk-based development only","No branching strategy",B,Intermediate,Source Control Strategy,"GitFlow provides structured branching for enterprise projects with clear separation of features, releases, and hotfixes."
"An organization needs to implement code review processes across multiple development teams. What's the optimal approach?","Optional code reviews","Mandatory pull requests with approval requirements","Automated code analysis only","Peer programming instead of reviews",B,Intermediate,Source Control Strategy,"Mandatory pull requests with approval requirements ensure code quality and knowledge sharing across development teams."
"A company wants to implement branch protection policies for their critical repositories. Which policies should they enforce?","No protection policies needed","Require pull request reviews and status checks","Branch deletion protection only","Admin override for all policies",B,Advanced,Source Control Strategy,"Pull request reviews and status checks ensure code quality while preventing direct commits to protected branches."
"An enterprise needs to manage access permissions across hundreds of repositories. What's the most scalable approach?","Individual repository permissions","Team-based permissions with inheritance","Admin access for all developers","No access controls",B,Advanced,Source Control Strategy,"Team-based permissions with inheritance provide scalable access management while maintaining security and appropriate access levels."
"A DevOps team needs to implement CI/CD pipelines that support multiple environments. Which pipeline design should they use?","Separate pipelines for each environment","Multi-stage pipeline with environment promotion","Manual deployment processes","Single environment deployment only",B,Intermediate,CI/CD Pipeline Design,"Multi-stage pipelines with environment promotion ensure consistent deployment processes and proper testing progression."
"An organization needs to implement automated testing in their CI/CD pipeline. What testing strategy should they adopt?","Manual testing only","Comprehensive automated testing pyramid","Unit tests only","End-to-end tests only",B,Advanced,CI/CD Pipeline Design,"Automated testing pyramid with unit, integration, and end-to-end tests provides comprehensive quality assurance."
"A company wants to implement security scanning in their CI/CD pipeline. Where should security scans be integrated?","Only in production deployment","Throughout the pipeline at multiple stages","Manual security reviews only","Post-deployment scanning only",B,Advanced,CI/CD Pipeline Design,"Integrating security scanning throughout the pipeline ensures early detection and remediation of security issues."
"An enterprise needs to implement approval workflows for production deployments. What's the optimal approach?","Automatic deployment without approvals","Automated deployment with stakeholder approval gates","Manual deployment processes only","Developer self-approval",B,Advanced,CI/CD Pipeline Design,"Approval gates with stakeholder validation ensure proper oversight while maintaining deployment automation."
"A company needs to implement Infrastructure as Code for their Azure environment. Which approach provides the best balance of simplicity and power?","ARM templates with nested deployments","Bicep with modular design","PowerShell scripts with parameters","Manual Azure portal configuration",B,Intermediate,Infrastructure as Code,"Bicep provides simpler syntax than ARM templates while maintaining full Azure Resource Manager capabilities."
"An organization needs to manage infrastructure state across multiple environments. What's the optimal state management approach?","Local state files only","Remote state with locking mechanisms","No state management","Manual environment tracking",B,Advanced,Infrastructure as Code,"Remote state with locking prevents conflicts and ensures consistent infrastructure management across teams."
"A DevOps team needs to implement infrastructure testing and validation. Which approach should they adopt?","Manual infrastructure review","Automated testing with validation frameworks","No testing required","Post-deployment validation only",B,Advanced,Infrastructure as Code,"Automated testing with frameworks like Terratest ensures infrastructure code quality and deployment reliability."
"An enterprise needs to implement infrastructure change management with approval workflows. What's the best approach?","Direct infrastructure changes","Infrastructure changes through version-controlled pipelines with approvals","Manual approval for all changes","No change management process",B,Advanced,Infrastructure as Code,"Version-controlled infrastructure changes with approval workflows ensure governance while maintaining automation."
"A company needs to provision Azure infrastructure using Terraform with team collaboration. How should they structure their Terraform implementation?","Single large configuration file","Modular structure with shared state backend","Separate Terraform instances per team","No collaboration needed",B,Intermediate,Terraform,"Modular Terraform with shared state backend enables team collaboration while maintaining infrastructure organization."
"An organization needs to implement Terraform CI/CD pipelines with proper testing. What should their pipeline include?","Terraform apply only","Plan, validate, apply with approval gates","Manual Terraform execution","No pipeline needed",B,Advanced,Terraform,"Terraform pipelines should include planning, validation, and approval gates to ensure safe infrastructure changes."
"A DevOps team needs to manage Terraform modules across multiple projects. What's the optimal module strategy?","Copy modules between projects","Centralized module registry with versioning","Inline modules only","No module reuse",B,Advanced,Terraform,"Centralized module registry with versioning enables reuse while maintaining version control and updates."
"An enterprise needs to implement Terraform state management for multiple teams. Which approach provides the best collaboration?","Local state files for each team","Remote state with workspace isolation","Shared state file for all teams","No state management",B,Advanced,Terraform,"Remote state with workspace isolation provides secure collaboration while preventing state conflicts."
"A company needs to implement desired state configuration for 100+ Windows servers. Which approach should they use?","Manual configuration management","Azure Automation DSC with pull server","PowerShell scripts with scheduled tasks","Group Policy only",B,Intermediate,Configuration Management,"Azure Automation DSC provides scalable configuration management with compliance monitoring and drift detection."
"An organization needs to implement configuration management across hybrid Windows and Linux environments. What's the optimal approach?","Separate tools for each platform","Cross-platform configuration management solution","Manual configuration for each system","No standardized configuration",B,Advanced,Configuration Management,"Cross-platform solutions like Azure Automation DSC or Ansible provide unified configuration management across diverse environments."
"A DevOps team needs to implement configuration drift detection and remediation. Which approach should they adopt?","Manual configuration audits","Automated drift detection with remediation","No drift management","Periodic configuration redeployment",B,Advanced,Configuration Management,"Automated drift detection with remediation ensures systems maintain desired state without manual intervention."
